Registro MySQL,Nome do Pai My SQL,Nome da Mãe MySQL,Registration Mongo,FatherName Mongo,MotherName Mongo,Comparação
,,,,highlandkatz twist and shout,
,,,,highlandkatz twist and shout,
,,,,highlandkatz twist and shout,
32118,br* yaciretá royal diamond,ic br* yaciretá nuova speranza,32118,,
031775,de* maine symphony karajan,it* felix coon primadonna,031775,,
,ophium aloona of rio de janeiro,tigrinus bonie of rio de janeiro,,highlandkatz twist and shout,
032932,de* langstteich's favorit,de* elcontra dany blue moon,032932,,
032347,ic lv* nostri vincent watch me touch me,ic lv* lady luck stebuklas ,032347,,
032282,br* heavenly bliss' sweet surrender i,br* gipsy flower grifinória ,032282,,
028328,ch dk* sebasco's sandman,sc no* honey hill's melis,028328,,
032281,br* heavenly bliss' sweet surrender i,br* gipsy flower grifinória ,032281,,
031928,br* viana miki,br* viana sibylla,031928,,
029473,br* korban olivier,br* fortuna kiara,029473,,
032353," ic br* sweet moon pablo picasso",br* bless kellyas berta strudell,032353,,
032351,ic br* sweet moon pablo picasso,br* bless kellyas berta strudell,032351,,
027763,"sc br* triunfo anthony, dvm dsm","nw sc no* mydele's embla, jw dvm dsm",027763,triunfo anthony,mydele's embla
027765,"sc br* triunfo anthony, dvm dsm","nw sc no* mydele's embla, jw dvm dsm",027765,triunfo anthony,mydele's embla
026143,no* summerfield's valentino,"ww04 sw04 ec no* my maine av. persicum, dsm dm",026143,,
029485,ch de* justcoons texas ranger,br* l. b. master cléo,029485,,l. b. master cléo
029486,ch de* justcoons texas ranger,br* l. b. master cléo,029486,,l. b. master cléo
026437,ic pl* alwaro edom faon,sc dk* wytopitlock chloé,026437,,
029490,es* wilkinson oscar of muskogee,br* muskogee zaphira,029490,,
029066,pt* lusocats enzo the cat,br* kirida of kudos,029066,,
033842,us* crayola cats bounty of schokovita,de* schokovita's abuya,033842,,
032382,ch de*diamondbeach easy rider,deevah of kudos *br,032382,,
032381,ch de* diamondbeach easy rider,br* deevah of kudos,032381,,deevah of kudos
033841,us* crayola cats bounty of schokovita,de* t'pau's sweet poison,033841,,
032097,ch de* justcoons do mani,ch br* l.b. master ivy,032097,,l. b. master ivy
032093,ch de* justcoons do mani,ch br* l.b. master ivy,032093,,l. b. master ivy
032094,ch de* justcoons do mani,ch br* l. b. master ivy,032094,,l. b. master ivy
032090,ch de* justcoons do mani,br* l.b. master cléo,032090,,l. b. master cléo
027781,sc pl* esus second tiili,sc pl* netty wikiblack,027781,,netty wikiblack
032088,ch de* justcoons do mani,ic br* l. b. master isis,032088,,l. b. master isis
,,,,highlandkatz twist and shout,
032064,sw01'00 sc no* honey hill's topscore,gic dk*coogan's truvy jones,032064,,
032096,ch de* justcoons do mani,ic br* l. b. master ivy,032096,,l. b. master ivy
029491,ic pl* alwaro edom faon ,sc pl* netty wikiblack,029491,,netty wikiblack
032089,ch de* justcoons do mani,ch br* l. b. master isis,032089,,l. b. master isis
025924,"ec fi* escape's poker face, jw dsm",gic dk* doantos liv tyler,025924,,
032586,"ww'08 sw'07 ec dk* sebasco's ice viking, jw dsm",dk* dueled's jazdia dax,032586,,
031454,us* gildethros nut miadore,us* gildethros torty miadore,031454,,
032318,us* gildethros nut miadore,us* gildethros torty miadore,032318,,
032319,us* gildethros nut miadore,us* gildethros torty miadore,032319,,
032315,ic us* katsnjazz getulio,br* miadore melancia,032315,,
031535,ch se* rockringen's i whant a dog,se* rockringen's look sharp,031535,,
031533,ch se* glorfindel's starstruck,no* vanity's decibelle,031533,,
032421,"ch no* migoto's mikkel, jw",se* youngun's enya,032421,,youngun's enya
032469,gic br* magahara summer storm,br* magahara katy perry,032469,magahara summer storm,magahara katy perry
027521,gic br* muskogee lone star,br* borobadur thula,027521,,
027982,es* patriarca red velvet,fi* mirandos mystical moonlight,027982,,
027777,sc esus second tilli *pl,ic pl* lavender love candy,027777,,
029905,gic br* magahara summer storm,ic br* eloah silcecoonies,029905,magahara summer storm,eloah silcecoonies
032684,no* honey hill's maison pistash,it* leaena paradise,032684,,
